       Mon Dec  9 13:46:08 2013    wsgi.prof

         257001 function calls (239001 primitive calls) in 0.391 seconds

   Ordered by: internal time
   List reduced from 103 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.000    0.000    0.000    0.000 utils.py:99(lookup)
     1000    0.000    0.000    0.000    0.000 setup.py:100(has_permission)
     1000    0.000    0.000    0.000    0.000 request.py:12(set_resolver_info)
     1000    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
     1000    0.000    0.000    0.000    0.000 wrappers.py:856(_get_status)
     1000    0.000    0.000    0.000    0.000 app.py:15(hello_model)
     1000    0.000    0.000    0.000    0.000 request.py:15(resolver_info)
     1000    0.000    0.000    0.000    0.000 app.py:53()
     1000    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1000    0.000    0.000    0.000    0.000 {callable}
